source	status	mapped_parents	result
4c3c5fd5034415c27c5062d22a6df8ad8c831235	retained	70f5963e8172ec0ff260a19b712b4c026eb0964b	a018c2647730885aed53beeb4baa2036342e8057
f4c2033ef85b286209a78883e36a1e71410d9b84	retained	a018c2647730885aed53beeb4baa2036342e8057	c41037915711ec70a2d23c45afada9ff411d60b6
821b2f54eea9fe107238298efa805d8d09b5ea61	retained	c41037915711ec70a2d23c45afada9ff411d60b6	008eb006d9a0837c984a05adf21abbdf8de527f3
b2d1ebe8bf9aa5e1f65ddb25baffc0857ce7d5c1	retained	008eb006d9a0837c984a05adf21abbdf8de527f3	4726b73a3c8823bccb2479231510f7465e4956da
97330494b166ada1a4344e728b92fea6698a6dbf	retained	4726b73a3c8823bccb2479231510f7465e4956da	3dff900d2698eb462cebc9ae6f6a3b8455036ffa
1f1ceb642dbe7193798455cfb7a37736ae79f26a	retained	3dff900d2698eb462cebc9ae6f6a3b8455036ffa	661a04b8b3cea07901ad9790e81c94110196f8ad
b82f574965fa247833301228ba95a9bd8e5eb0e2	retained	661a04b8b3cea07901ad9790e81c94110196f8ad	f07201e9be0dbf6302b353fc59e8fbf838f80ab9
8ae65024b633db9242c7f776674495369ecb136e	retained	f07201e9be0dbf6302b353fc59e8fbf838f80ab9	e4f3edbdb65d6a946eb756897d25cdeda63baeff
4214dde4e98bdd252370b93e3993b634d47d9b43	retained	e4f3edbdb65d6a946eb756897d25cdeda63baeff	359e03394d5ac384338da39aeaf49fbbb14eb772
d97e71405ac91a7618ecdf166f4a1c25a462e25d	retained	359e03394d5ac384338da39aeaf49fbbb14eb772	adf1384d8398f3af6e393ac7432eea0326ab63bd
aef68e5ebc116d1311c5b1e8ab7223f32f65d51e	pruned	adf1384d8398f3af6e393ac7432eea0326ab63bd	adf1384d8398f3af6e393ac7432eea0326ab63bd
26ae9363a2d78f4db16d2354663e4cb7c378cb14	retained	adf1384d8398f3af6e393ac7432eea0326ab63bd	2a717f5b3d54e82facc0c8c92f85afa5dc54a5d7
e05051c39b67d0bcccef253a396fe303bbda591b	retained	2a717f5b3d54e82facc0c8c92f85afa5dc54a5d7	7a9ff67f01b0a48952f490233a6269ece9cbe4f9
ed755317d091373f8934b882356cc09ec091058e	retained	7a9ff67f01b0a48952f490233a6269ece9cbe4f9	d5899fb2e2010c8eecc16d008154783ef0bd0d6c
03f3e6b86f60f1f4793a2d31f524c077d951d84d	retained	d5899fb2e2010c8eecc16d008154783ef0bd0d6c	f131917ff6e68e29d07989bcd298e1277b8a654a
6018a9f6eed3459d941bbbaf20737bf86659b4be	retained	f131917ff6e68e29d07989bcd298e1277b8a654a	bff85410132eff4651b60227f128320a71012730
125236e5d3b9e2f887c3a90930e566e7ee389ab3	pruned	bff85410132eff4651b60227f128320a71012730	bff85410132eff4651b60227f128320a71012730
b0a0fbf189468136f67e409768d4727ed988967b	retained	bff85410132eff4651b60227f128320a71012730	1a646dd5f35d4fb342217c135953c4ebd6e55718
7ab271ef3f79d2b7cf15adbbda30539712daea66	pruned	1a646dd5f35d4fb342217c135953c4ebd6e55718	1a646dd5f35d4fb342217c135953c4ebd6e55718
44915916d601791db0cc01f87efeff2928527c65	pruned	1a646dd5f35d4fb342217c135953c4ebd6e55718	1a646dd5f35d4fb342217c135953c4ebd6e55718
573397fdbe0ad2f61e31cfaaed1b99e638e47858	retained	1a646dd5f35d4fb342217c135953c4ebd6e55718	af1edf8a578b4226615bd543a76aa7ee6e94605b
9d996ca4a675f4e7b7addb9bf0f1fe928bc909c8	pruned	af1edf8a578b4226615bd543a76aa7ee6e94605b	af1edf8a578b4226615bd543a76aa7ee6e94605b
cea34f1cac5d320b3c06c7067ac6903fd6988527	retained	af1edf8a578b4226615bd543a76aa7ee6e94605b	9f894d1404e32bb9b1ee0335045fc9d034b293e6
daf9d68193ecddf1a8769393ac44ade624c0c868	retained	9f894d1404e32bb9b1ee0335045fc9d034b293e6	607683cc16f6622a18c805dd63e686e9685c2974
67b3e5eddf5015b1f5bddf06748beeeb87920bb6	retained	607683cc16f6622a18c805dd63e686e9685c2974	27f5038bc6223a02c6a3f826b04d645db97af128
cf16561a675f7e62ca4e42c48d2d60c4d87a04fa	pruned	27f5038bc6223a02c6a3f826b04d645db97af128	27f5038bc6223a02c6a3f826b04d645db97af128
f80e5b6e8329f6204a946eba3783d944ae3139c8	pruned	27f5038bc6223a02c6a3f826b04d645db97af128	27f5038bc6223a02c6a3f826b04d645db97af128
4a051ce5bd9b3862a9de9afd4643e4ca0182a03d	pruned	27f5038bc6223a02c6a3f826b04d645db97af128	27f5038bc6223a02c6a3f826b04d645db97af128
0adc02fcb3dd67489aa786aa18398e27916f5910	retained	27f5038bc6223a02c6a3f826b04d645db97af128	2e34ad1880497d6c05d20d470d5210a826d73864
2706b9baa90e5d19bba6008ee9270743d1e9461b	retained	2e34ad1880497d6c05d20d470d5210a826d73864	b798ee086cd9a4caa7c3a6ba08fb8ba2a8ea523c
d59fe660d54523c90fb52ba5b57000007ddf34ae	retained	b798ee086cd9a4caa7c3a6ba08fb8ba2a8ea523c	816a40fdf912432e86a9a996d2910263cdeabd1f
70753c8a2c8cd1015c82a8fb263c4d29fd9e724e	retained	816a40fdf912432e86a9a996d2910263cdeabd1f	8e903d02f01fe2f74ee55c4bdeade0604685b353
472e7fe5f8bf8e7862f8677e4a1e1e781082f414	retained	8e903d02f01fe2f74ee55c4bdeade0604685b353	0eabcedb88d629d6f94da6eb9666b4771b69d43b
784b5b179c5d23c2d789b876d3848eafeab91944	retained	0eabcedb88d629d6f94da6eb9666b4771b69d43b	53549a018c19ca3f8fcfe9c1aa94ea80dea94d6a
8a2f9aa855ac2bb542e3fe12c48c638b6722bba5	retained	53549a018c19ca3f8fcfe9c1aa94ea80dea94d6a	69f58e9890214ad30ce2f2492615a24716419ad7
e6a3f67ef2c69c5809bbbe57ecccd17b711430da	pruned	69f58e9890214ad30ce2f2492615a24716419ad7	69f58e9890214ad30ce2f2492615a24716419ad7
b472462e110898d072e3b511fcd763abee12bb51	retained	69f58e9890214ad30ce2f2492615a24716419ad7	106fd1fb95af3958c884b9af30c7769d3042b802
cbaf12550c032049004cceda79bfd653ce35718a	retained	106fd1fb95af3958c884b9af30c7769d3042b802	e8d74524b13552f29dbe9f0be8953cb072688517
5a0f6e29cf3e9880c3f6c506065be2935d605f10	retained	e8d74524b13552f29dbe9f0be8953cb072688517	8ed6be66cc819cde79080c8868838c3dc71052a4
c3c7a1e1452fa86d56891ce9d531126552a3a698	retained	8ed6be66cc819cde79080c8868838c3dc71052a4	f06fb56bc7c72d82030ee1d7b6e2c7615b132d4e
d7a3834073c14716ad9d34d0ce3d08f53ebf9b28	retained	f06fb56bc7c72d82030ee1d7b6e2c7615b132d4e	6fa3f1cfe47cc8cb74b716bc59ae93ef440ed516
95a1ce1aaa8150a6ba4e62f81e38fea960eac90c	retained	6fa3f1cfe47cc8cb74b716bc59ae93ef440ed516	582f5d9cd73725b7770acbd17d1c88690f49f96c
68e20fba3b21579ea9eea6271a4dae0d6b0b12a8	retained	582f5d9cd73725b7770acbd17d1c88690f49f96c	781d5a264a7cb99de6478658dbc51c1d6112432a
